ID_Compra,CPF_Cliente,ID_Produto,Data_Compra,Quantidade,Preco_Unitario,Satisfacao,Valor_Total
C00001,095.701.543-73,P013,2025-12-20,1,49.9,3.3,49.9
C00002,238.849.696-92,P008,2025-09-22,2,219.9,5.0,439.8
C00003,475.255.341-44,P004,2025-02-02,1,169.9,3.8,169.9
C00004,475.255.341-44,P001,2025-02-06,2,59.9,4.3,119.8
C00005,960.013.389-14,P004,2025-02-04,4,169.9,4.2,679.6
C00006,475.255.341-44,P005,2025-12-09,2,229.9,4.6,459.8
C00007,095.701.543-73,P003,2025-10-20,2,149.9,4.6,299.8
C00008,269.166.978-57,P004,2025-02-18,1,169.9,4.6,169.9
C00009,269.166.978-57,P006,2025-08-05,1,189.9,4.9,189.9
C00010,026.542.351-14,P001,2025-07-26,2,59.9,4.4,119.8
C00011,026.542.351-14,P004,2025-04-09,1,169.9,3.7,169.9
C00012,928.327.648-51,P008,2025-05-08,3,219.9,4.4,659.7
C00013,083.863.794-99,P008,2025-10-09,1,219.9,4.0,219.9
C00014,104.332.181-00,P002,2025-05-02,1,79.9,3.7,79.9
C00015,627.048.281-05,P008,2025-04-20,3,219.9,4.5,659.7
C00016,104.332.181-00,P007,2025-05-16,4,139.9,4.2,559.6
C00017,480.184.514-27,P005,2025-08-05,2,229.9,4.6,459.8
C00018,627.048.281-05,P003,2025-04-08,1,149.9,3.8,149.9
C00019,960.013.389-14,P010,2025-10-05,1,99.9,4.1,99.9
C00020,627.048.281-05,P009,2025-09-29,1,119.9,4.1,119.9
C00021,489.325.288-70,P002,2025-04-06,1,79.9,5.0,79.9
C00022,532.871.012-69,P002,2025-10-19,1,79.9,4.6,79.9
C00023,278.248.963-15,P001,2025-11-14,1,59.9,4.2,59.9
C00024,395.376.724-09,P015,2025-05-14,1,89.9,3.6,89.9
C00025,395.376.724-09,P004,2025-05-16,1,169.9,3.9,169.9
C00026,395.376.724-09,P015,2025-02-07,1,89.9,3.8,89.9
C00027,278.248.963-15,P010,2025-02-21,1,99.9,4.3,99.9
C00028,238.849.696-92,P015,2025-02-05,3,89.9,4.4,269.7
C00029,238.849.696-92,P005,2025-03-22,1,229.9,4.3,229.9
C00030,489.325.288-70,P001,2025-12-08,3,59.9,4.4,179.7
C00031,350.305.641-60,P015,2025-12-06,1,89.9,4.4,89.9
C00032,026.542.351-14,P012,2025-10-11,1,299.9,4.3,299.9
C00033,350.305.641-60,P010,2025-04-18,2,99.9,4.4,199.8
C00034,928.327.648-51,P009,2025-09-08,1,119.9,4.6,119.9
C00035,960.013.389-14,P002,2025-11-21,1,79.9,4.2,79.9
C00036,161.559.407-89,P011,2025-05-15,1,249.9,4.6,249.9
C00037,480.184.514-27,P009,2025-12-28,1,119.9,4.2,119.9
C00038,161.559.407-89,P009,2025-01-19,3,119.9,4.0,359.7
C00039,039.117.182-84,P009,2025-03-17,1,119.9,4.4,119.9
C00040,960.013.389-14,P015,2025-07-03,1,89.9,4.2,89.9
C00041,475.255.341-44,P011,2025-02-22,1,249.9,3.7,249.9
C00042,278.248.963-15,P012,2025-03-21,4,299.9,4.2,1199.6
C00043,475.255.341-44,P014,2025-03-25,5,129.9,4.6,649.5
C00044,104.332.181-00,P003,2025-06-20,3,149.9,3.7,449.7
C00045,269.166.978-57,P013,2025-12-09,3,49.9,4.0,149.7
