ID_Compra,CPF_Cliente,ID_Produto,Data_Compra,Quantidade,Preco_Unitario,Satisfacao,Valor_Total,Desconto,Valor_Com_Desconto,Forma_Pagamento,Data_Hora_Geracao
CO000001,168.341.897-92,P0004,2025-10-27,2,169.9,2.9,339.8,0,339.8,Cartão de Crédito,2026-09-23 16:55:35
CO000002,804.817.733-22,P0081,2025-04-19,5,98.89,1.8,494.45,0,494.45,Cartão de Crédito,2026-09-23 16:55:35
CO000003,995.668.244-25,P0055,2025-12-20,1,41.88,1.5,41.88,0,41.88,Dinheiro,2026-09-23 16:55:35
CO000004,850.977.397-27,P0061,2024-09-05,1,67.43,4.4,67.43,0.1,60.69,Cartão de Crédito,2026-09-23 16:55:35
CO000005,218.951.847-28,P0073,2024-04-15,4,44.9,1.2,179.6,0,179.6,Vale-presente,2026-09-23 16:55:35
CO000006,161.387.239-24,P0056,2025-08-15,4,89.9,4.4,359.6,0.15,305.66,Boleto,2026-09-23 16:55:35
CO000007,164.122.992-39,P0071,2025-05-12,3,42.41,1.1,127.23,0.05,120.87,Boleto,2026-09-23 16:55:35
CO000008,274.161.390-35,P0093,2025-05-14,5,59.42,4.7,297.1,0.2,237.68,Cartão de Crédito,2026-09-23 16:55:35
CO000009,718.260.908-91,P0008,2024-11-19,5,37.42,1.1,187.1,0.1,168.39,Boleto,2026-09-23 16:55:35
CO000010,329.765.170-93,P0035,2025-05-21,4,69.9,4.6,279.6,0,279.6,Boleto,2026-09-23 16:55:35
CO000011,417.800.759-69,P0045,2024-06-14,4,53.91,3.8,215.64,0,215.64,Cartão de Débito,2026-09-23 16:55:35
CO000012,615.796.533-45,P0025,2025-06-03,4,199.9,2.4,799.6,0,799.6,Cartão de Crédito,2026-09-23 16:55:35
CO000013,551.145.937-39,P0088,2025-11-03,3,49.9,4.7,149.7,0.2,119.76,Dinheiro,2026-09-23 16:55:35
CO000014,251.167.229-45,P0038,2025-11-20,4,134.87,4.8,539.48,0.2,431.58,Vale-presente,2026-09-23 16:55:35
CO000015,265.343.219-15,P0047,2024-06-14,4,142.89,4.2,571.56,0.2,457.25,Boleto,2026-09-23 16:55:35
CO000016,609.123.192-60,P0037,2024-06-26,1,87.89,3.7,87.89,0,87.89,Cartão de Crédito,2026-09-23 16:55:35
CO000017,163.561.205-53,P0078,2025-05-20,4,89.9,1.4,359.6,0.05,341.62,Cartão de Débito,2026-09-23 16:55:35
CO000018,809.341.163-95,P0027,2025-01-02,5,212.41,1.2,1062.05,0,1062.05,Cartão de Débito,2026-09-23 16:55:35
CO000019,799.536.276-55,P0087,2025-05-30,2,164.89,1.7,329.78,0.2,263.82,PIX,2026-09-23 16:55:35
