=== TABELA: COMPRAS ===
ID_Compra,CPF_Cliente,ID_Produto,Data_Compra,Quantidade,Preco_Unitario,Satisfacao,Valor_Total
CO00001,724.991.491-89,P010,2025-03-16,4,142.89,3.0,571.56
CO00002,107.172.824-90,P026,2025-10-28,1,299.88,4.4,299.88
CO00003,721.921.460-38,P024,2024-08-21,2,44.91,2.7,89.82
CO00004,260.345.277-80,P011,2024-04-07,4,269.91,2.6,1079.64
CO00005,765.170.899-93,P014,2025-01-18,3,79.9,3.7,239.7
CO00006,309.785.833-50,P022,2024-03-28,4,89.91,1.3,359.64
CO00007,830.419.508-95,P014,2025-01-16,1,79.9,4.0,79.9
CO00008,985.510.160-31,P018,2025-07-29,1,175.89,3.3,175.89
CO00009,849.234.192-47,P011,2025-11-12,1,269.91,2.6,269.91
CO00010,535.217.657-38,P028,2025-09-06,1,35.91,4.9,35.91
CO00011,358.954.183-70,P012,2024-08-05,1,44.91,3.3,44.91
CO00012,309.785.833-50,P022,2024-04-20,4,89.91,1.9,359.64
CO00013,950.188.385-67,P028,2024-10-12,5,35,91,2.5,179.55
CO00014,872.331.980-96,P008,2025-09-28,4,219.89,4.4,879.56
CO00015,743.199.742-92,P001,2025-12-11,5,191.88,4.7,959.4
CO00016,873.553.727-74,P001,2024-11-12,2,191.88,2.1,383.76
CO00017,170.618.763-53,P012,2024/05/26,1,44.91,1.7,44.91
CO00018,905.652.997-56,p022,2025-10-10,4,89.91,1.3,359.64
CO00019,891.396.181-39,P003,2025-03-05,5,24.9,1.9,124.5
CO00020,933.878.663-14,P011,2024-11-28,2,269.91,2.5,539.82
CO00021,944.593.925-47,P020,2024-06-08,1,87.89,4.5,87.89
CO00022,568.423.869-19,P025,2024-03-24,5,219.89,1.2,1099.45
CO00023,560.365.869-41,P015,2025-03-28,4,39.9,2.9,159.6
CO00024,805.708.581-47,P009,2024-04-26,2,87.89,4.0,175.78
CO00025,730.927.651-71,P014,2025-11-25,1,79.9,2.1,79.9
CO00026,448.906.619-44,P017,2025-02-08,3,80.91,1.2,242.73
CO00027,,P001,2024-08-04,2,191.88,2.2,383.76
CO00028,322.159.693-79,P025,2024-05-02,3,219.89,2.2,659.67
CO00029,704.532.132-13,P016,2025-01-24,4,38.39,1.7,153.56
CO00030,337.572.753-42,P023,2025-11-15,2,116.91,3.0,233.82
CO00031,606.971.432-33,P003,2024-02-13,4,24.9,4.4,99.6
CO00032,548.182.712-15,P001,2024-11-16,4,191.88,4.7,767.52
CO00033,114.370.649-25,P014,2025-10-17,5,79.9,2.6,399.5
CO00034,805.708.581-47,P010,2024-11-28,1,142.89,2.6,142.89
CO00035,779.206.999-27,P026,2025-12-07,5,299.88,2.8,1499.4
CO00036,347.837.516-72,P003,2024-09-06,4,24.9,4.4,99.6
CO00037,548.182.712-15,P019,2025-02-09,4,179.91,3.1,719.64
CO00038,358.954.183-70,P024,2024-06-21,3,44.91,1.9,134.73
CO00039,652.897.643-10,P017,2024-07-17,1,80.91,3.1,80.91
CO00040,950.188.385-67,P012,2024-05-29,2,44.91,1.9,89.82
CO00041,835.813.493-73,P007,2025-11-02,2,59.88,3.4,119.76
CO00042,652.897.643-10,P006,2025-07-31,4,95.88,2.9,383.52
CO00043,942.753.480-23,P015,2025-10-01,5,39.9,3.6,199.5
CO00044,885.477.271-87,P028,2024-03-10,3,35.91,1.6,107.73
CO00045,826.262.418-80,P015,2025-08-28,3,39.9,4.2,119.7
CO00046,981.212.256-90,P012,2025-04-17,5,44,91,1.3,224.55
CO00047,786.207.978-30,P002,2024-10-20,1,219.89,2.5,219.89
CO00048,652.897.643-10,P021,2025-06-03,1,249.9,3.5,249.9
CO00049,403.332.469-32,P015,2024-02-12,5,39.9,3.2,199.5
CO00050,786.207.978-30,P030,2024/11/25,5,65.89,3.6,329.45
CO00051,961.216.572-25,P017,2025-04-06,2,80.91,4.8,161.82
CO00052,172.626.343-45,P026,2024-03-27,3,299.88,4.9,899.64
CO00053,115.839.247-62,P021,2025-12-25,2,249.9,1.2,499.8
CO00054,334.790.956-83,P015,2024-06-11,5,39.9,3.1,199.5
CO00055,558.911.117-21,P012,2024-12-12,3,44.91,2.5,134.73
CO00056,697.508.470-38,P026,2024-04-06,3,299.88,1.3,899.64
CO00057,743.199.742-92,P022,2025-11-03,4,89.91,2.1,359.64
CO00058,734.183.529-94,P011,2024-05-24,1,269.91,3.3,269.91
CO00059,950.188.385-67,P010,2025-12-26,4,142.89,1.5,571.56
CO00060,187.849.597-18,P010,2024-12-02,5,142.89,2.5,714.45
CO00061,195.871.969-40,P022,2025-11-17,5,89.91,1.4,449.55
CO00062,535.217.657-38,P017,2024-11-12,3,80.91,1.1,242.73
CO00063,441.889.233-91,P007,2025-05-12,3,59.88,4.8,179.64
CO00064,466.315.798-41,P008,2024-10-29,2,219.89,1.6,439.78
