ID_Compra,CPF_Cliente,ID_Produto,Data_Compra,Quantidade,Preco_Unitario,Satisfacao,Valor_Total
C00179,816.184.959-50,P003,2025-03-31,1,149.9,5.0,149.9
C01548,894.184.336-72,P1512,2025-09-22,2,116.81,4.1,233.62
C01310,264.712.463-90,P1019,2025-04-15,1,369.29,4.4,369.29
C00878,497.567.922-13,P0576,2026-08-09,3,190.63,3.8,571.89
C00867,686.334.141-71,P1609,2026-07-16,5,213.94,3.5,1069.7
C01718,630.453.069-26,P0759,2025-06-12,1,362.18,4.4,362.18
C00172,532.871.012-69,P011,2025-02-11,3,249.9,5.0,749.7
C01395,259.045.990-48,P0852,2026-02-15,2,352.0,4.2,704.0
C00403,161.559.407-89,P005,2025-01-22,1,229.9,4.6,229.9
C00189,350.305.641-60,P013,2025-04-28,2,49.9,3.5,99.8
C01053,875.003.691-23,P1983,2025-02-05,1,84.25,3.7,84.25
C01952,855.245.787-31,P1147,2026-06-14,1,351.29,4.4,351.29
C01472,769.475.769-89,P1255,2025-09-06,3,142.74,4.0,428.22
C01523,013.290.227-34,P0029,2025-05-01,1,81.4,5.0,81.4
C01435,159.996.504-61,P1063,2025-10-08,1,354.9,3.2,354.9
C01573,856.467.997-32,P1382,2026-06-06,1,78.71,3.9,78.71
C01027,120.754.527-92,P0018,2025-10-31,3,155.47,3.6,466.41
C00257,083.863.794-99,P014,2025-06-10,2,129.9,3.7,259.8
C01680,171.236.851-64,P0500,2025-12-03,4,361.97,4.8,1447.88
C00901,674.338.005-90,P0148,2025-11-13,1,231.0,3.8,231.0
C01001,150.317.807-20,P0116,2025-10-19,1,262.11,3.7,262.11
C00742,567.983.631-99,P1733,2025-06-07,1,333.2,4.6,333.2
C00366,095.701.543-73,P002,2025-06-13,1,79.9,4.5,79.9
C01854,623.869.222-78,P1608,2026-01-30,1,394.6,3.3,394.6
C01564,906.375.791-35,P0536,2026-06-22,2,195.15,4.6,390.3
